test Field,link,title
,en.wikipedia.org/wiki/Computer,"Computer - Wikipedia, the free encyclopediaComputer scienceComputer hardwarePersonal computerComputer programComputer networkAnalog computer"
,,     More news for computer  
,,"Buynow Software OfficeCentury Computer CityChengdu Digital SquareNew Century Computer PlaceChengdu Xindeli Electronic Co.,Ltd.Road Yangdiannao SupermarketPanasonic"
,www.cse.ust.hk/,"Department of Computer Science and Engineering, HKUST"
,www.webopedia.com › TERM › C,What is Computer? Webopedia
,www.hkcs.org.hk/,The Hong Kong Computer Society
,www.cs.hku.hk/,"Department of Computer Science, HKU"
,www.cs.cityu.edu.hk/,Department of Computer Science - City University of Hong ...
,https://www.computer.org/,IEEE Computer Society - Premier Organization of Computer ...
,,
,,
ccc,,
